location-lat,location-long,timestamp
53.1693585,4.9163644,2019-02-08 07:53:12
53.1625554,4.8802458,2019-02-08 08:55:55
53.1623468,4.8804253,2019-02-08 09:56:06
53.1619635,4.8807839,2019-02-08 10:56:03
53.1603037,4.880884,2019-02-08 11:56:31
53.1793637,4.9578118,2019-02-08 12:57:06
53.1973643,4.9765884,2019-02-08 13:57:22
53.1956159,4.9739893,2019-02-08 14:57:37
53.19281,4.9708902,2019-02-08 15:58:03
53.1926423,4.9654401,2019-02-08 16:58:25
53.2354464,4.9234868,2019-02-08 17:58:24
53.2323257,4.920409,2019-02-08 18:59:06
53.2317948,4.9199241,2019-02-08 19:59:27
53.2317989,4.9199358,2019-02-08 20:59:27
53.231824,4.9199992,2019-02-08 22:00:06
53.2316946,4.9194822,2019-02-08 23:00:16
53.2316645,4.9194708,2019-02-09 00:00:31
53.2316174,4.9195238,2019-02-09 01:01:01
53.2316967,4.9195598,2019-02-09 02:01:04
53.2316797,4.9195672,2019-02-09 03:01:19
53.2217718,4.9479193,2019-02-09 04:02:36
53.1972055,4.9723536,2019-02-09 05:03:06
53.1834789,4.9632802,2019-02-09 06:03:22
53.1811249,4.9545785,2019-02-09 07:03:32
53.1794665,4.9510034,2019-02-09 08:03:55
53.1632468,4.8795475,2019-02-09 09:05:31
53.1640609,4.879665,2019-02-09 10:06:44
53.1559142,4.8858658,2019-02-09 11:07:36
53.1558993,4.8858251,2019-02-09 12:07:40
53.1632855,4.8815374,2019-02-09 13:08:06
53.1787644,4.961416,2019-02-09 14:08:56
53.1963292,4.9804366,2019-02-09 15:09:30
53.1954944,4.9741021,2019-02-09 16:10:06
53.191242,4.9739222,2019-02-09 17:10:28
53.2319254,4.9203421,2019-02-09 18:11:06
53.2318533,4.9199334,2019-02-09 19:11:20
53.2318632,4.9199184,2019-02-09 20:11:36
53.2373114,4.9178164,2019-02-09 21:11:47
53.2363611,4.9136063,2019-02-09 22:12:06
53.2369918,4.9128897,2019-02-09 23:12:19
53.2370066,4.9133626,2019-02-10 00:12:34
53.2325904,4.9205158,2019-02-10 01:13:06
53.2326011,4.9205153,2019-02-10 02:13:22
